id,satisfaction
19556,1.0
90035,1.0
12360,0.0
77959,1.0
36875,0.0
39177,1.0
79433,1.0
97286,1.0
27508,1.0
62482,1.0
47583,1.0
115550,0.0
119987,1.0
42141,1.0
2274,1.0
22470,0.0
124915,0.0
17836,1.0
76872,0.0
64287,1.0
63995,1.0
75855,0.0
106181,0.0
44304,1.0
82602,0.0
7823,0.0
127781,1.0
34501,1.0
121658,1.0
20219,1.0
67551,0.0
48994,1.0
70811,0.0
75241,0.0
12312,1.0
48372,0.0
51477,1.0
84204,1.0
70990,0.0
101991,0.0
87447,0.0
16112,0.0
16172,0.0
106558,1.0
11536,0.0
47773,1.0
70521,1.0
96283,0.0
117993,1.0
74703,0.0
110840,0.0
88249,1.0
125877,0.0
83968,0.0
122719,1.0
3949,0.0
45542,1.0
43742,0.0
122093,0.0
121454,0.0
738,1.0
75235,0.0
88653,0.0
26594,1.0
38339,1.0
46063,0.0
27957,0.0
17270,0.0
87976,1.0
31640,1.0
41461,0.0
15143,0.0
78136,0.0
120433,1.0
41440,0.0
15963,0.0
64303,0.0
3608,0.0
7744,0.0
21276,0.0
58576,1.0
53888,0.0
10980,1.0
54151,0.0
115641,0.0
58584,0.0
50472,0.0
102623,1.0
31533,0.0
42287,0.0
70467,1.0
20461,0.0
113346,1.0
115566,0.0
119896,1.0
88853,0.0
24895,0.0
31122,1.0
91231,0.0
61426,0.0
68873,0.0
125701,0.0
94999,0.0
56694,0.0
62010,1.0
95868,1.0
123064,1.0
103418,0.0
73456,0.0
8851,1.0
64241,0.0
81723,0.0
88237,1.0
50619,0.0
54444,0.0
64765,0.0
15941,0.0
14965,1.0
36897,0.0
127954,1.0
27872,1.0
35854,1.0
14527,1.0
47021,0.0
11224,0.0
3921,0.0
69463,0.0
47050,0.0
21970,1.0
30046,1.0
1256,0.0
73813,0.0
110928,0.0
102981,1.0
61571,1.0
3796,0.0
73906,0.0
74090,1.0
76645,0.0
100462,0.0
54164,0.0
6147,1.0
1262,0.0
20310,1.0
46896,1.0
7237,0.0
44293,1.0
52496,1.0
68263,0.0
5289,0.0
109359,1.0
94988,1.0
53605,1.0
11005,0.0
14794,1.0
49480,1.0
120440,0.0
55823,0.0
107792,1.0
80531,1.0
128145,1.0
63370,0.0
12452,0.0
16145,1.0
44418,0.0
95746,1.0
41134,0.0
3214,0.0
74101,1.0
106220,1.0
88134,1.0
64475,1.0
123812,0.0
88893,1.0
31244,1.0
97762,0.0
59851,1.0
25137,0.0
18412,0.0
87192,0.0
127062,0.0
112169,0.0
127798,0.0
91778,0.0
42609,1.0
67482,0.0
91108,0.0
102318,0.0
51281,1.0
6528,0.0
121232,1.0
72478,1.0
122788,0.0
5528,1.0
107726,0.0
72606,0.0
75522,1.0
125687,0.0
79908,1.0
117345,1.0
73465,0.0
95851,1.0
44992,0.0
70631,1.0
13761,1.0
74968,0.0
12371,0.0
8378,1.0
82080,0.0
107972,1.0
101228,1.0
85577,1.0
2717,1.0
88529,1.0
91613,0.0
88865,0.0
96960,1.0
51191,1.0
9461,0.0
66384,0.0
41934,0.0
25381,0.0
14757,1.0
94013,1.0
80107,0.0
23590,0.0
110384,0.0
15069,1.0
17128,0.0
54060,1.0
129240,0.0
97165,0.0
111696,1.0
1887,0.0
89086,0.0
35485,0.0
35719,0.0
85669,0.0
1137,0.0
8358,1.0
17217,1.0
44847,0.0
96673,0.0
80152,0.0
82277,0.0
123927,0.0
115766,0.0
21134,0.0
112062,0.0
28643,1.0
108010,1.0
92145,1.0
115846,1.0
99685,1.0
112072,1.0
119226,0.0
115925,0.0
106552,0.0
25126,0.0
33426,1.0
125844,0.0
70328,1.0
88847,0.0
108398,0.0
97316,1.0
124811,0.0
23012,1.0
18088,0.0
37982,0.0
31332,0.0
97455,1.0
28901,1.0
107606,0.0
53258,1.0
14292,1.0
68232,1.0
51224,0.0
121386,0.0
31668,0.0
24628,0.0
95876,1.0
62793,0.0
83516,0.0
13221,1.0
100404,0.0
121453,0.0
21454,0.0
15937,1.0
70105,1.0
47540,1.0
57561,1.0
124103,0.0
125736,1.0
93362,0.0
95429,1.0
106943,1.0
100691,0.0
119948,0.0
15778,0.0
68342,1.0
24665,0.0
81029,1.0
70371,0.0
1386,1.0
35225,1.0
86204,1.0
126370,0.0
116184,0.0
89613,1.0
99020,1.0
18463,1.0
96637,0.0
114678,1.0
97639,1.0
75061,1.0
51744,0.0
44413,0.0
2389,1.0
105062,0.0
91464,0.0
55721,0.0
65726,1.0
8473,1.0
13488,1.0
58611,1.0
39607,0.0
41704,0.0
126579,0.0
44232,1.0
44021,0.0
67502,0.0
19525,1.0
110015,0.0
30960,0.0
2153,0.0
115097,1.0
63204,1.0
113849,1.0
95508,0.0
112350,1.0
20650,1.0
65517,1.0
116988,0.0
116210,0.0
15218,1.0
35387,1.0
20002,1.0
102927,0.0
92462,0.0
70950,0.0
76034,1.0
97177,0.0
51719,0.0
129201,1.0
35558,0.0
109398,1.0
65351,1.0
102482,0.0
17932,0.0
122276,0.0
57484,0.0
121069,1.0
41414,0.0
49839,0.0
48189,0.0
82445,1.0
108108,1.0
63984,0.0
105287,1.0
9385,0.0
25265,1.0
119844,0.0
33840,0.0
81815,0.0
83524,0.0
78999,1.0
46712,0.0
41188,0.0
5326,1.0
80176,0.0
46900,1.0
89219,0.0
17928,0.0
55425,1.0
88130,1.0
48354,1.0
105905,0.0
60943,1.0
101584,0.0
71388,1.0
77866,1.0
49223,1.0
106530,0.0
28676,1.0
39553,1.0
109597,0.0
62291,0.0
40177,1.0
33413,1.0
127599,0.0
66723,0.0
73698,0.0
27641,0.0
83891,0.0
51662,0.0
19833,0.0
63416,0.0
7645,0.0
86002,0.0
64457,0.0
109551,0.0
86553,0.0
17491,0.0
114667,1.0
59149,1.0
74892,1.0
15197,0.0
6867,0.0
111943,0.0
46720,0.0
67966,0.0
33341,1.0
50319,1.0
82927,1.0
14562,0.0
108335,0.0
97959,0.0
1026,1.0
26910,1.0
14054,1.0
109458,1.0
51772,0.0
15019,0.0
23664,0.0
6731,1.0
57753,1.0
29788,1.0
28336,1.0
2878,0.0
81675,0.0
50905,0.0
90850,0.0
29340,1.0
68731,0.0
115978,0.0
29829,1.0
82401,0.0
80083,1.0
42783,0.0
39020,1.0
46111,0.0
66327,1.0
43012,1.0
82776,0.0
48215,0.0
57441,0.0
55928,0.0
98446,0.0
121273,1.0
59385,0.0
27078,1.0
104661,1.0
111483,0.0
11558,1.0
83673,0.0
120382,1.0
82170,0.0
117397,1.0
59357,1.0
91983,0.0
119617,1.0
90639,1.0
59638,0.0
119074,1.0
13395,1.0
108871,0.0
104029,1.0
12025,1.0
42755,1.0
32936,0.0
53978,0.0
70029,1.0
96407,0.0
127129,0.0
113946,1.0
40606,0.0
7742,0.0
128529,0.0
80556,1.0
22155,1.0
56314,0.0
82206,1.0
68344,1.0
18464,1.0
129310,1.0
70613,1.0
8558,0.0
86840,1.0
122170,1.0
24839,0.0
87935,1.0
10735,0.0
118083,0.0
15189,0.0
116832,1.0
99415,1.0
111821,0.0
60089,1.0
51644,0.0
129771,0.0
5412,1.0
98444,0.0
39113,1.0
36518,1.0
119576,0.0
57227,0.0
107365,0.0
233,0.0
70295,0.0
110124,1.0
46382,0.0
121254,0.0
92891,1.0
57816,1.0
36109,0.0
1770,1.0
70400,1.0
75299,0.0
121885,0.0
93772,0.0
15078,1.0
17597,0.0
4927,1.0
32994,0.0
8213,0.0
53073,0.0
19789,0.0
84270,0.0
74151,0.0
117893,1.0
15249,0.0
114937,1.0
85861,1.0
17158,0.0
128028,0.0
3109,0.0
6332,1.0
129473,1.0
70511,0.0
8529,0.0
44101,0.0
20031,1.0
2103,0.0
33484,1.0
41094,1.0
76419,1.0
107120,0.0
109543,0.0
86687,0.0
106144,0.0
126649,1.0
5451,0.0
99445,1.0
44102,1.0
81994,0.0
54677,1.0
32338,1.0
56855,0.0
5993,1.0
100442,0.0
74164,0.0
59220,0.0
47033,1.0
51724,0.0
107246,1.0
102045,0.0
80996,0.0
55696,1.0
4705,0.0
124533,0.0
89236,1.0
27404,1.0
66299,1.0
90250,0.0
69604,0.0
62231,0.0
127414,0.0
83287,0.0
62159,0.0
89936,0.0
92960,1.0
96429,0.0
20254,0.0
80034,0.0
120984,0.0
58651,0.0
45129,0.0
64820,0.0
22529,0.0
117917,1.0
9639,0.0
91209,0.0
61396,0.0
12717,1.0
82915,0.0
120263,0.0
108065,1.0
122726,1.0
24852,0.0
117853,1.0
81119,1.0
16367,0.0
44186,1.0
113137,0.0
108721,1.0
93342,1.0
75321,1.0
49436,1.0
65748,1.0
102057,0.0
39468,0.0
28492,0.0
64793,1.0
18513,1.0
8799,1.0
92140,0.0
93211,0.0
66112,0.0
108771,1.0
35164,1.0
48375,0.0
46358,0.0
128508,0.0
98704,1.0
18274,1.0
20972,0.0
79500,1.0
93098,0.0
36733,1.0
45812,0.0
65598,1.0
61803,0.0
36818,0.0
32419,0.0
57621,1.0
7577,1.0
40216,0.0
89656,0.0
77601,1.0
13121,0.0
15903,1.0
24590,0.0
39616,0.0
31853,1.0
62199,0.0
70191,1.0
108648,0.0
30969,1.0
77620,0.0
83491,1.0
128941,1.0
22663,1.0
78836,0.0
85042,1.0
36786,0.0
43842,0.0
120292,0.0
70616,0.0
108944,0.0
109590,1.0
29471,0.0
10953,0.0
87170,1.0
40114,1.0
60959,0.0
286,1.0
99504,0.0
118938,0.0
28296,1.0
101005,1.0
51263,1.0
1507,1.0
72911,1.0
83439,0.0
39694,0.0
98976,0.0
28365,1.0
54710,1.0
65308,0.0
52434,0.0
36689,0.0
12776,0.0
94201,1.0
81388,0.0
116463,0.0
66179,1.0
88102,1.0
26949,1.0
124725,1.0
115731,0.0
99559,1.0
1307,1.0
79670,0.0
114149,0.0
13103,1.0
59222,1.0
94357,1.0
97449,1.0
125235,0.0
113769,0.0
36549,0.0
108169,1.0
94873,0.0
123289,1.0
20734,0.0
33889,0.0
74146,0.0
55240,0.0
23104,1.0
42011,1.0
115119,1.0
101659,1.0
93261,1.0
106610,0.0
91460,1.0
44817,1.0
115610,0.0
60041,1.0
92898,1.0
31018,0.0
81392,1.0
111950,1.0
80663,0.0
107035,1.0
121308,0.0
123342,0.0
32903,0.0
17667,1.0
6464,0.0
101707,1.0
7978,1.0
110803,0.0
95617,0.0
60591,0.0
54418,1.0
124866,0.0
51574,1.0
114082,1.0
35331,0.0
70468,1.0
119099,1.0
110397,0.0
108193,1.0
29278,0.0
98147,1.0
97689,0.0
20805,0.0
30441,1.0
62128,1.0
50959,0.0
3920,0.0
22989,1.0
111036,0.0
34805,0.0
68068,1.0
117139,0.0
118651,0.0
16985,1.0
85072,1.0
15670,1.0
68137,0.0
123164,1.0
36845,1.0
17451,1.0
45594,0.0
123709,0.0
118741,0.0
46265,0.0
103439,0.0
117757,0.0
23043,1.0
45009,0.0
10869,0.0
113642,0.0
36913,0.0
9209,0.0
110354,1.0
102344,0.0
66245,0.0
2852,0.0
125304,0.0
94889,1.0
119911,1.0
129586,0.0
58194,0.0
78323,1.0
51948,0.0
50288,0.0
9685,0.0
90835,0.0
29806,0.0
127821,0.0
100724,1.0
104066,0.0
45221,1.0
96106,1.0
5168,0.0
85301,0.0
27576,0.0
10806,0.0
82950,0.0
68820,1.0
41932,0.0
94120,0.0
19301,0.0
17606,1.0
17961,1.0
28871,1.0
56733,0.0
59118,0.0
90580,1.0
104013,0.0
58434,0.0
62768,0.0
37157,1.0
43179,1.0
104829,1.0
53842,1.0
16606,0.0
126600,1.0
74144,1.0
8920,0.0
106271,1.0
125172,0.0
62313,0.0
46105,1.0
77477,0.0
59887,1.0
10298,0.0
122646,0.0
119398,1.0
8223,1.0
